CLAVE_CLIENTE,CVE_UNIDAD_NEGOCIO,UNIDAD_NEGOCIO,EMISORA_FONDO,DESC_CE_FINANCIERO,SALDO_CLIENTE,TIPO_OPERACION,GENERO,Edad,ENROLADO,FECHA_TRANSACCION
93736304,1,BANCO,CUENTA_EJE,Ciudad de Mexico,208644.6033,RETIRO,FEMENINO,46.5,NO ENROLADO,14/02/20
93741650,1,BANCO,CUENTA_EJE,Jalisco,1101334.614,RETIRO,FEMENINO,80,NO ENROLADO,14/02/20
93742591,1,BANCO,IMPULSA,Ciudad de Mexico,355215.7046,VENTA,FEMENINO,60.30833333,NO ENROLADO,14/02/20
93755221,1,BANCO,ACTIMED,Jalisco,254149.4267,COMPRA,MASCULINO,55.91666667,ENROLADO,14/02/20
93764553,1,BANCO,ACTIMED,Ciudad de Mexico,68550.50618,COMPRA,FEMENINO,40.30277778,ENROLADO,14/02/20
93773596,1,BANCO,ACTI500,Ciudad de Mexico,1006953.96,COMPRA,MASCULINO,71.41111111,ENROLADO,14/02/20
93773679,1,BANCO,IMPULSA,Jalisco,244992.4108,VENTA,FEMENINO,62.60277778,ENROLADO,14/02/20
93783694,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,1413209.24,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,67.90277778,ENROLADO,14/02/20
93801264,1,BANCO,ALTERNA,Ciudad de Mexico,202127.5094,VENTA,FEMENINO,65.92222222,ENROLADO,14/02/20
93805679,1,BANCO,MAYA,Ciudad de Mexico,72380.41774,COMPRA,MASCULINO,41.59444444,ENROLADO,14/02/20
93805943,1,BANCO,ACTIGOB,Ciudad de Mexico,29181.43244,COMPRA,FEMENINO,53.43333333,ENROLADO,14/02/20
93824134,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,6068.93,"RET, TRASPASO ENTRE CONTRATOS                                                                       ",FEMENINO,43.46388889,ENROLADO,14/02/20
93836393,1,BANCO,ACTIMED,Toluca,162561.12,VENTA,MASCULINO,41.05555556,ENROLADO,14/02/20
93841484,1,BANCO,ACTIGOB,Jalisco,2210275.556,VENTA,MASCULINO,60.11388889,ENROLADO,14/02/20
93856649,1,BANCO,ACTIMED,Ciudad de Mexico,163180.5166,COMPRA,MASCULINO,42.79444444,ENROLADO,14/02/20
93863066,1,BANCO,ACTIREN,Ciudad de Mexico,121795.9571,VENTA,FEMENINO,35.51666667,ENROLADO,14/02/20
93871945,1,BANCO,ACTI500,Ciudad de Mexico,169545.7491,VENTA,FEMENINO,52.95555556,NO ENROLADO,14/02/20
93873560,1,BANCO,IMPULSA,Jalisco,89316.09,VENTA,MASCULINO,68.46388889,ENROLADO,14/02/20
93888964,1,BANCO,ACTIMED,Jalisco,703555.1479,VENTA,FEMENINO,63.06388889,NO ENROLADO,14/02/20
93894749,2,CASA DE BOLSA,ACTIREN   ,Ciudad de Mexico,764345.74,VENTA                                                                                               ,FEMENINO,62.14166667,NO ENROLADO,14/02/20
93913267,1,BANCO,ALTERNA,Ciudad de Mexico,991897.5061,VENTA,FEMENINO,75.10555556,NO ENROLADO,14/02/20
93936607,1,BANCO,ACTIMED,Tuxtla Gutierrez,250478.7071,VENTA,FEMENINO,54.575,ENROLADO,14/02/20
93999845,1,BANCO,ACTIMED,Ciudad de Mexico,150701.9752,COMPRA,FEMENINO,54.27777778,NO ENROLADO,14/02/20
94008109,1,BANCO,IMPULSA,Jalisco,306461.7046,VENTA,FEMENINO,72.73333333,NO ENROLADO,14/02/20
94030749,1,BANCO,ACTICOB,Jalisco,80024.14744,VENTA,MASCULINO,77.94166667,ENROLADO,14/02/20
94094570,1,BANCO,MAXIMO,Ciudad de Mexico,386603.4114,COMPRA,FEMENINO,42.02777778,ENROLADO,14/02/20
94159290,1,BANCO,ACTIREN,Ciudad de Mexico,119688.8276,VENTA,FEMENINO,39.49166667,ENROLADO,14/02/20
94170149,1,BANCO,ACTIREN,Toluca,96279.36,VENTA,FEMENINO,45.91388889,ENROLADO,14/02/20
94240793,1,BANCO,ACTIMED,Toluca,1588574.134,VENTA,FEMENINO,64.73055556,ENROLADO,14/02/20
94254141,1,BANCO,ACTI500,Ciudad de Mexico,631428.4634,COMPRA,FEMENINO,40.43055556,ENROLADO,14/02/20
94262045,1,BANCO,CUENTA_EJE,Ciudad de Mexico,1660563.47,DEPOSITO,FEMENINO,55.23333333,ENROLADO,14/02/20
94307469,1,BANCO,ACTIMED,Ciudad de Mexico,204706.8794,VENTA,FEMENINO,54.77777778,ENROLADO,14/02/20
94357530,1,BANCO,ACTI500,Ciudad de Mexico,37331.09993,VENTA,MASCULINO,39.10833333,ENROLADO,14/02/20
94456191,1,BANCO,ACTIREN,Ciudad de Mexico,200282.2914,VENTA,FEMENINO,55.39166667,ENROLADO,14/02/20
94490463,1,BANCO,IMPULSA,Jalisco,237771.4218,VENTA,FEMENINO,69.85277778,ENROLADO,14/02/20
94495066,1,BANCO,ACTIMED,Ciudad de Mexico,130290.9472,VENTA,FEMENINO,61.73611111,NO ENROLADO,14/02/20
94525599,1,BANCO,ALTERNA,Toluca,3131402.799,VENTA,FEMENINO,72.27777778,NO ENROLADO,14/02/20
94547411,1,BANCO,ACTVIDA,Ciudad de Mexico,228559.2428,VENTA,FEMENINO,63.975,ENROLADO,14/02/20
94600541,1,BANCO,ACTVIDA,Ciudad de Mexico,482500.4869,VENTA,FEMENINO,52.73055556,ENROLADO,14/02/20
94689999,1,BANCO,ACTIMED,Jalisco,914100.6066,TRASPASO IN,MASCULINO,68.06944444,ENROLADO,14/02/20
94881745,1,BANCO,ACTIMED,Leon,5788335.096,VENTA,FEMENINO,61.85555556,ENROLADO,14/02/20
95096616,1,BANCO,MAYA,Ciudad de Mexico,194216.8281,VENTA,MASCULINO,28.35277778,ENROLADO,14/02/20
95136784,1,BANCO,ACTIMED,Ciudad de Mexico,209157.6932,VENTA,FEMENINO,48.43888889,ENROLADO,14/02/20
95166179,1,BANCO,ACTVIDA,Ciudad de Mexico,107263.578,VENTA,FEMENINO,68.69722222,NO ENROLADO,14/02/20
95175022,1,BANCO,ACTIGOB,Ciudad de Mexico,264220.3872,VENTA,MASCULINO,29.81388889,ENROLADO,14/02/20
95208096,1,BANCO,CUENTA_EJE,Ciudad de Mexico,920449.66,RETIRO,FEMENINO,47.20277778,ENROLADO,14/02/20
95215687,1,BANCO,IMPULSA,Jalisco,1740757.578,VENTA,MASCULINO,24.16944444,ENROLADO,14/02/20
95229233,1,BANCO,ACTIMED,San Luis Potosi,340794.8083,COMPRA,MASCULINO,42.88333333,ENROLADO,14/02/20
95234472,2,CASA DE BOLSA,ROBOTIK   ,Ciudad de Mexico,818640.44,COMPRA                                                                                              ,MASCULINO,52.03888889,ENROLADO,14/02/20
95236329,1,BANCO,IMPULSA,Jalisco,53650.41022,VENTA,MASCULINO,73.99444444,ENROLADO,14/02/20
95237392,1,BANCO,ALTERNA,Ciudad de Mexico,462284.1795,COMPRA,MASCULINO,44.53888889,ENROLADO,14/02/20
95257812,1,BANCO,IMPULSA,Ciudad de Mexico,338900.4789,VENTA,FEMENINO,82.89166667,NO ENROLADO,14/02/20
